dataset,protocol,model,accuracy,precision,recall,f1,roc_auc,fpr,novel_recall,known_recall,false_alerts_per_10k
NSL-KDD,random-split,logistic-regression,0.9504713169943442,0.9593579822298652,0.9367513713198253,0.9479199116422644,0.9915221584977572,0.03680440199335548,,,190.95071370859142
NSL-KDD,random-split,decision-tree,0.9933476972798276,0.9953888545239836,0.990764580767939,0.9930713343992819,0.9977829499475236,0.004256644518272425,,,22.084567734985185
NSL-KDD,random-split,random-forest,0.9952598976568813,0.9969101123595505,0.993227359229822,0.9950653283238939,0.9999139612798563,0.0028550664451827243,,,14.812819822246162
NSL-KDD,official-split,logistic-regression,0.7546132008516678,0.9133733439021628,0.6285358061248344,0.744645494830133,0.7708867867917533,0.07877664504170528,0.41706666666666664,0.7158427832214026,339.33640880056777
NSL-KDD,official-split,decision-tree,0.7853087295954577,0.9194919701899864,0.6826151328605938,0.7835420393559929,0.7709468327246852,0.07898259705488621,0.444,0.7811295827369812,340.2235628105039
NSL-KDD,official-split,random-forest,0.774485450674237,0.9679913032974997,0.6244837528247487,0.7591890867752936,0.9667289602096233,0.027288641746473073,0.27653333333333335,0.7681382803038643,117.54790631653655
NSL-KDD,official-split@fpr=0.001,random-forest,0.6529453513129879,0.9978135559530908,0.3911789916621211,0.5620241827138379,0.9667289602096233,0.0011327360724951087,0.04933333333333333,0.5323131124077948,4.8793470546486875
NSL-KDD,official-split@fpr=0.005,random-forest,0.6729950319375444,0.9910088113648624,0.4294397257071612,0.5992171360226161,0.9667289602096233,0.0051488003295232215,0.050133333333333335,0.586039854673566,22.178850248403123
NSL-KDD,official-split@fpr=0.01,random-forest,0.6802696948190206,0.9831644047414534,0.445959635315203,0.61359493942318,0.9667289602096233,0.010091648645865514,0.0512,0.6089397776065176,43.47054648687012
NSL-KDD,official-split@fpr=0.05,random-forest,0.8502484031227822,0.9523581746866928,0.7757344346606405,0.8550201838014257,0.9667289602096233,0.05128205128205128,0.6618666666666667,0.8227457888362876,220.9013484740951
UNSW-NB15,random-split,logistic-regression,0.9094211335165091,0.9021991531211583,0.9626175034613422,0.931429578706152,0.9769641814738461,0.1847741935483871,,,666.8839938527453
UNSW-NB15,random-split,decision-tree,0.9374097704093513,0.9628817150691761,0.9382302217688067,0.9503961419221495,0.986761620145861,0.06404301075268817,,,231.1429857650693
UNSW-NB15,random-split,random-forest,0.9504494015740698,0.9602937968147771,0.9622531516432267,0.9612724757952974,0.9921722383764588,0.07045161290322581,,,254.27280771201043
UNSW-NB15,official-split,logistic-regression,0.8138633824029539,0.7587122583760109,0.9706167828465543,0.8516815872247762,0.9556753340519555,0.3781891891891892,,,1699.5821794684935
UNSW-NB15,official-split,decision-tree,0.8553660788028956,0.8102628843012031,0.9627636106944322,0.8799548368885842,0.96419001284219,0.2762162162162162,,,1241.3156488364184
UNSW-NB15,official-split,random-forest,0.8671840839527766,0.8112907020941555,0.9887717285802523,0.8912816535926268,0.9824002270933248,0.28178378378378377,,,1266.33629694408
UNSW-NB15,official-split@fpr=0.001,random-forest,0.8322523441675169,0.9988289286279475,0.6961528280243536,0.8204661562260325,0.9824002270933248,0.001,,,4.493999902832434
UNSW-NB15,official-split@fpr=0.005,random-forest,0.894913277947821,0.9950067476383266,0.8132224477190506,0.894977058095215,0.9824002270933248,0.005,,,22.469999514162172
UNSW-NB15,official-split@fpr=0.01,random-forest,0.9131200505271341,0.9904930753616485,0.8503705991352687,0.9150989305764917,0.9824002270933248,0.01,,,44.939999028324344
UNSW-NB15,official-split@fpr=0.05,random-forest,0.9232254773356654,0.9566642474188186,0.901394158651725,0.9282071667897098,0.9824002270933248,0.05002702702702703,,,224.82145459845503
